Iteration,Settlements,Population
868,9,897
869,9,897
870,9,897
871,9,897
872,9,897
873,9,897
874,9,897
875,9,897
876,9,897
877,9,897
878,9,897
879,9,897
880,9,897
881,9,897
882,9,897
883,9,897
884,9,897
885,9,897
886,9,897
887,9,897
888,9,897
889,9,897
890,9,897
891,9,897
892,9,897
893,9,897
894,9,897
895,9,897
896,9,897
897,9,897
898,9,897
899,9,897
900,9,897
901,9,897
902,9,897
903,9,897
904,9,897
905,9,897
906,9,897
907,9,897
908,9,897
909,9,897
910,9,897
911,9,897
912,9,897
913,9,897
914,9,897
915,9,897
916,9,897
917,9,897
918,9,897
919,9,897
920,9,897
921,9,897
922,9,897
923,9,897
924,9,897
925,9,897
926,9,897
927,9,897
928,9,897
929,9,897
930,9,897
931,9,897
932,9,897
933,9,897
934,9,897
935,9,897
936,9,897
937,9,897
938,9,897
939,9,897
940,9,897
941,9,897
942,9,897
943,9,897
944,9,897
945,9,897
946,9,897
947,9,897
948,9,897
949,9,897
950,9,897
951,9,897
952,9,897
953,9,897
954,9,897
955,9,897
956,9,897
957,9,897
958,9,897
959,9,897
960,9,897
961,9,897
962,9,897
963,9,897
964,9,897
965,9,897
966,9,897
967,9,897
968,9,897
969,9,897
970,9,897
971,9,897
972,9,897
973,9,897
974,9,897
975,9,897
976,9,897
977,9,897
978,9,897
979,9,897
980,9,897
981,9,897
982,9,897
983,9,897
984,9,897
985,9,897
986,9,897
987,9,897
988,9,897
989,9,897
990,9,897
991,9,897
992,9,897
993,9,897
994,9,897
995,9,897
996,9,897
997,9,897
998,9,897
999,9,897
1000,9,897
